feat_1,feat_2
1,718
18,205
18,547
5,641
13,126
9,80
8,76
14,617
10,167
14,36
16,872
9,755
13,613
10,74
8,656
3,82
1,226
2,706
16,766
10,143
15,852
13,76
1,672
7,798
3,58
8,860
15,409
16,637
21,190
15,266
12,666
7,535
17,909
7,585
14,411
8,983
8,763
0,889
11,552
15,741
13,-3
9,202
-1,285
0,656
16,715
9,306
1,595
1,778
12,183
3,481
12,232
17,541
12,651
4,794
9,550
16,233
14,609
3,742
15,277
7,524
12,607
12,178
9,239
10,560
11,378
3,255
4,752
16,632
7,344
2,228
11,7
13,252
13,618
22,996
8,130
12,575
8,42
2,1023
21,801
2,775
20,381
9,985
11,496
13,651
9,324
9,37
17,23
14,398
5,448
5,157
2,120
6,479
8,778
9,634
10,694
3,149
12,648
3,990
15,349
17,674
9,462
5,47
0,275
-3,226
12,717
20,208
2,449
8,639
11,114
5,882
13,585
16,698
-2,672
13,124
11,736
5,673
2,938
4,750
12,115
9,148
16,514
21,506
9,520
7,456
-1,684
18,124
10,621
0,494
15,923
13,66
7,426
8,415
7,189
8,634
12,140
6,645
16,406
17,278
2,1015
5,356
13,426
8,577
20,342
6,790
8,426
17,618
3,839
12,800
2,811
16,76
10,689
-2,742
14,471
6,42
18,199
0,99
16,423
6,413
5,457
8,307
18,481
16,656
5,753
-1,849
19,70
-2,160
-3,376
12,153
2,7
2,963
3,343
13,834
4,35
8,122
15,137
7,552
3,290
4,569
1,260
16,336
6,594
20,894
7,727
20,880
6,566
9,616
1,120
13,573
16,855
10,383
14,542
17,959
5,22
16,474
10,910
11,410
12,903
7,828
16,143
10,466
8,690
8,560
12,430
11,1
8,21
7,178
7,738
14,986
17,390
22,794
11,353
16,327
15,955
3,393
-1,499
20,865
3,288
1,920
10,29
18,151
12,736
8,405
4,8
22,551
9,861
2,260
6,638
9,451
0,74
6,618
10,742
9,628
9,246
14,813
4,422
10,596
2,997
12,726
6,928
4,246
19,122
2,705
6,179
6,573
11,858
13,141
9,650
15,208
17,117
4,410
17,836
14,381
0,760
11,257
1,567
0,886
4,139
-2,768
5,292
13,454
13,961
16,522
13,351
6,382
5,437
18,264
5,154
6,244
18,798
7,577
14,-7
2,978
10,275
0,1013
10,433
-2,188
9,441
12,875
5,303
3,510
4,182
17,51
1,706
10,445
13,491
20,156
9,89
9,747
14,428
-1,944
5,752
16,77
-3,809
5,32
9,193
1,186
6,839
13,432
20,1014
12,184
6,218
9,-3
6,81
6,112
20,6
0,290
10,486
12,978
16,250
-2,680
21,249
5,247
14,447
10,553
19,887
15,774
15,889
3,792
2,862
14,170
4,46
22,751
9,279
17,851
13,567
14,409
17,663
17,466
-1,110
0,373
20,715
5,705
13,611
16,884
10,794
13,981
13,906
13,385
3,560
7,249
12,508
15,884
19,815
8,442
16,583
1,880
2,893
22,947
13,125
2,604
7,484
10,922
-2,374
14,699
20,950
9,395
2,687
10,47
11,33
17,137
15,162
4,65
0,701
9,876
5,506
14,103
7,18
19,470
15,24
8,390
14,581
-1,707
10,658
16,749
18,522
4,353
22,897
22,797
11,303
5,592
13,289
19,934
19,171
0,792
8,720
11,785
14,70
19,495
7,931
22,176
6,990
20,991
13,201
14,922
3,127
1,474
4,264
8,302
18,238
3,973
16,936
21,727
10,909
12,525
17,723
7,991
1,230
16,760
5,179
-2,644
16,457
1,24
13,866
4,59
6,496
10,772
16,380
13,694
8,549
12,434
15,491
17,964
12,738
8,862
18,254
16,549
3,10
1,169
6,341
4,246
21,57
16,6
1,527
11,252
0,747
3,791
11,989
10,789
7,208
16,447
13,665
14,437
14,178
19,344
17,929
5,452
10,433
15,344
5,326
9,803
4,697
19,522
17,470
0,857
17,340
12,364
6,986
16,158
16,718
4,208
9,509
22,217
13,833
15,652
17,918
2,683
7,110
0,390
1,354
11,388
8,653
19,925
2,827
5,803
6,497
3,310
18,937
19,315
8,52
16,99
19,815
9,147
2,660
9,196
10,926
11,601
0,208
16,326
17,370
12,685
-1,447
13,74
2,292
9,254
2,332
11,884
22,196
11,292
3,723
18,108
8,312
13,857
8,529
6,703
15,422
7,366
17,661
